Model,Optimal Configuration,Train MSE,Train R2,Test MSE,Test R2
Ridge Regression,"{'alpha': 0.1, 'degree': 1}",0.8145192818400953,0.3169070371509022,1847206.8586932195,-201580.16458602753
Ridge Regression,"{'alpha': 0.1, 'degree': 2}",0.7958905116229782,0.33252997220665403,858816860790.0531,-93720582590.7339
Ridge Regression,"{'alpha': 0.1, 'degree': 3}",0.7889755884707205,0.33832914166680306,1.2105483101505871e+18,-1.3210417501396362e+17
Ridge Regression,"{'alpha': 1.0, 'degree': 1}",0.8145192818400951,0.3169070371509023,1847206.8587091772,-201580.164587769
Ridge Regression,"{'alpha': 1.0, 'degree': 2}",0.7958905116229783,0.3325299722066539,858816856359.8341,-93720582107.27495
Ridge Regression,"{'alpha': 1.0, 'degree': 3}",0.7889755884707311,0.33832914166679406,1.2105478245070318e+18,-1.3210412201687074e+17
Ridge Regression,"{'alpha': 10.0, 'degree': 1}",0.8145192818400951,0.3169070371509023,1847206.8588687591,-201580.16460518376
Ridge Regression,"{'alpha': 10.0, 'degree': 2}",0.7958905116229821,0.3325299722066508,858816812057.6317,-93720577272.684
Ridge Regression,"{'alpha': 10.0, 'degree': 3}",0.7889755884718072,0.3383291416658918,1.210542968131621e+18,-1.3210359205250518e+17
Ridge Regression,"{'alpha': 50.0, 'degree': 1}",0.8145192818400953,0.3169070371509022,1847206.8595780095,-201580.16468258252
Ridge Regression,"{'alpha': 50.0, 'degree': 2}",0.7958905116230767,0.33252997220657154,858816615159.9594,-93720555785.7228
Ridge Regression,"{'alpha': 50.0, 'degree': 3}",0.7889755884978882,0.33832914164401906,1.21052138555248e+18,-1.321012367984536e+17
Ridge Regression,"{'alpha': 100.0, 'degree': 1}",0.8145192818400949,0.3169070371509024,1847206.8604645757,-201580.1647793313
Ridge Regression,"{'alpha': 100.0, 'degree': 2}",0.7958905116233719,0.33252997220632396,858816369040.1388,-93720528927.26901
Ridge Regression,"{'alpha': 100.0, 'degree': 3}",0.7889755885793795,0.3383291415756766,1.2104944103410499e+18,-1.3209829305963546e+17
